Region_Code,Year,Dominant_Sector,Green_Jobs_Created,Govt_Investment_Millions_USD,Renewable_Energy_Share_Pct,Air_Quality_Index_Avg,CO2_Emissions_Megatons
REG-001,2022,Smart Grid Tech,11707,97.95,73.0,129,7.72
REG-001,2023,Solar Energy,24001,591.81,67.5,93,26.82
REG-001,2024,Wind Energy,3489,476.49,12.7,28,3.26
REG-001,2025,Solar Energy,9718,409.23,12.3,104,6.37
REG-001,2026,Smart Grid Tech,6971,564.05,45.7,67,13.75
REG-002,2022,EV Manufacturing,11193,649.45,10.6,136,24.27
REG-002,2023,Smart Grid Tech,1677,343.87,33.6,31,6.85
REG-002,2024,EV Manufacturing,22136,90.75,42.3,67,11.09
REG-002,2025,EV Manufacturing,12056,486.94,78.6,63,22.03
REG-002,2026,Waste Management,14551,108.61,88.4,34,2.82
REG-003,2022,EV Manufacturing,8734,665.23,62.6,106,25.92
REG-003,2023,Waste Management,22329,161.91,15.9,65,20.01
REG-003,2024,EV Manufacturing,13678,788.33,82.7,40,26.06
REG-003,2025,Green Building,906,229.6,64.0,126,11.26
REG-003,2026,EV Manufacturing,9706,290.66,67.0,99,21.2
REG-004,2022,Smart Grid Tech,22127,521.95,61.8,44,5.55
REG-004,2023,Smart Grid Tech,9406,203.4,49.3,70,8.46
REG-004,2024,Smart Grid Tech,12546,553.65,28.7,87,10.07
REG-004,2025,Wind Energy,13576,190.95,12.7,38,9.81
REG-004,2026,EV Manufacturing,14613,62.29,87.6,97,17.23
REG-005,2022,Smart Grid Tech,6512,258.6,65.7,136,12.17
REG-005,2023,Smart Grid Tech,4110,372.49,32.5,54,7.78
REG-005,2024,Waste Management,24195,435.79,73.5,125,13.14
REG-005,2025,Waste Management,22423,325.53,28.6,21,29.93
REG-005,2026,Waste Management,12708,399.88,74.2,96,25.9
REG-006,2022,Solar Energy,23671,505.68,77.3,109,12.95
REG-006,2023,Wind Energy,21329,313.97,60.7,26,14.31
REG-006,2024,EV Manufacturing,16210,777.15,83.2,127,0.84
REG-006,2025,Smart Grid Tech,16445,100.5,85.2,58,22.65
REG-006,2026,Smart Grid Tech,7552,278.74,34.9,90,5.17
REG-007,2022,Wind Energy,23986,763.51,84.4,75,8.27
REG-007,2023,Waste Management,16100,611.95,53.2,61,3.64
REG-007,2024,Smart Grid Tech,21931,245.77,64.3,55,18.46
REG-007,2025,Solar Energy,22087,305.39,23.7,137,28.63
REG-007,2026,Waste Management,2298,735.61,60.9,73,14.91
REG-008,2022,Wind Energy,10100,743.99,84.7,139,25.03
REG-008,2023,EV Manufacturing,10400,199.17,30.5,125,17.24
REG-008,2024,Wind Energy,11630,77.67,51.3,138,2.54
REG-008,2025,Waste Management,24169,615.01,20.9,40,14.52
REG-008,2026,Waste Management,23753,140.45,54.9,156,18.39
REG-009,2022,Solar Energy,19981,743.84,74.2,28,20.85
REG-009,2023,Smart Grid Tech,16893,256.26,94.6,141,19.67
REG-009,2024,Green Building,6252,720.7,48.4,144,7.81
REG-009,2025,Wind Energy,6795,277.09,60.0,68,7.29
REG-009,2026,Solar Energy,3725,15.68,70.2,110,2.24
REG-010,2022,Wind Energy,1816,725.28,83.1,87,2.59
REG-010,2023,Solar Energy,12837,230.0,51.3,38,16.41
REG-010,2024,Smart Grid Tech,4183,749.06,58.5,79,14.44
REG-010,2025,Green Building,3773,647.92,26.2,108,3.36
REG-010,2026,Green Building,645,289.9,44.9,88,25.98
REG-011,2022,Wind Energy,17366,541.96,93.7,127,3.4
REG-011,2023,Green Building,18133,585.29,78.1,138,3.72
REG-011,2024,Solar Energy,15496,160.27,48.1,56,12.95
REG-011,2025,EV Manufacturing,16514,375.48,84.3,30,2.72
